prob_class_0,prob_class_1,prob_class_2,prob_class_3,max_probability,predicted_class,predicted_class_name
0.99999344,4.5729487e-07,1.3054292e-06,4.8455327e-06,0.99999344,0,none
0.9999808,1.0040447e-06,1.8491883e-06,1.632573e-05,0.9999808,0,none
0.999995,2.6766659e-06,1.7039457e-07,2.1774779e-06,0.999995,0,none
0.9999989,6.218191e-08,3.9369047e-07,5.9561313e-07,0.9999989,0,none
0.99999845,2.9206092e-07,1.1704422e-07,1.1178407e-06,0.99999845,0,none
0.9999993,5.8010585e-08,6.058121e-07,7.498541e-08,0.9999993,0,none
0.9999974,2.020489e-06,5.6344606e-07,2.674488e-08,0.9999974,0,none
0.99999833,4.338745e-07,1.1947438e-06,4.9535917e-08,0.99999833,0,none
0.9999962,3.3842691e-06,3.487216e-07,3.314247e-08,0.9999962,0,none
0.99999857,1.031666e-06,3.195501e-07,6.5576025e-08,0.99999857,0,none
0.99999595,6.283654e-07,3.3472527e-06,5.2267666e-08,0.99999595,0,none
0.99881077,0.0011430553,4.5555902e-05,5.81258e-07,0.99881077,0,none
0.99999404,1.5475547e-07,5.271505e-06,4.875496e-07,0.99999404,0,none
0.999959,7.765546e-06,3.274475e-05,4.8315064e-07,0.999959,0,none
0.9999988,8.6715335e-07,2.136974e-07,5.697736e-08,0.9999988,0,none
0.99998724,9.247389e-07,1.1465471e-05,3.139965e-07,0.99998724,0,none
0.9999622,3.70604e-05,7.4320013e-07,1.1892159e-08,0.9999622,0,none
0.9999989,9.638406e-07,6.8763754e-08,1.1373563e-08,0.9999989,0,none
0.9999944,5.153087e-06,1.8080921e-07,2.1701491e-07,0.9999944,0,none
0.9999857,1.3873518e-05,3.771231e-07,9.338346e-09,0.9999857,0,none
0.99999726,6.631606e-07,1.7410745e-06,3.8628033e-07,0.99999726,0,none
0.9999931,1.0756788e-06,5.724599e-06,1.6398661e-07,0.9999931,0,none
0.9999982,4.6046452e-07,1.0198934e-06,3.6168274e-07,0.9999982,0,none
0.99997985,5.8345963e-06,1.4262551e-05,3.4229465e-08,0.99997985,0,none
0.9985536,0.0013887433,5.7166446e-05,5.5444565e-07,0.9985536,0,none
0.99989736,1.1858195e-06,0.0001011104,3.743101e-07,0.99989736,0,none
0.9997551,0.00017638202,6.737074e-05,1.1669684e-06,0.9997551,0,none
0.99958795,0.000291733,3.5184163e-05,8.508785e-05,0.99958795,0,none
0.97832674,0.02145034,4.743424e-05,0.00017551953,0.97832674,0,none
0.99954224,0.00042708198,1.1637237e-05,1.9049996e-05,0.99954224,0,none
0.99937695,0.0005195509,3.977808e-06,9.956031e-05,0.99937695,0,none
0.9172867,0.08269943,7.57404e-06,6.330907e-06,0.9172867,0,none
0.9851559,0.01363533,0.0011472467,6.16048e-05,0.9851559,0,none
0.9985667,0.00015187803,5.949524e-05,0.0012220268,0.9985667,0,none
0.99987245,1.8018318e-05,1.25539345e-05,9.698381e-05,0.99987245,0,none
0.99998534,1.2138551e-06,1.7932945e-06,1.1685354e-05,0.99998534,0,none
0.99995077,1.7678124e-07,4.7892077e-05,1.1848023e-06,0.99995077,0,none
0.99999595,2.7661966e-07,3.6492438e-06,1.17542264e-07,0.99999595,0,none
0.9999974,7.671611e-07,1.8581994e-06,3.2561914e-08,0.9999974,0,none
0.9999989,7.6959213e-07,1.08632356e-07,2.3288003e-07,0.9999989,0,none
0.9999993,7.0665294e-07,6.1765224e-09,6.139235e-08,0.9999993,0,none
0.99999976,4.827722e-08,6.6276327e-09,1.4420422e-07,0.99999976,0,none
0.99999976,1.9277811e-08,5.104537e-09,1.9697752e-07,0.99999976,0,none
0.99999964,1.07567296e-07,3.323374e-08,2.0625315e-07,0.99999964,0,none
